Date,Seed,Epochs,Learning Rate,Depth,Width,Mean,Mean_array,Forgetting
2025-01-10T14_54_54,0,1,0.01,2,1,19.36761703945037,"[52.90780141843972, 43.82957884427032, 0.0, 0.10070493454179255, 0.0]",0.6145149763155476
2025-01-10T15_08_09,0,1,0.01,2,5,22.006005835120384,"[44.160756501182036, 0.0, 30.469583778014943, 34.13897280966767, 1.2607160867372669]",15.227612245410027
2025-01-10T23_10_35,0,25,0.01,10,5,23.66656789472264,"[99.76359338061465, 7.541625857002939, 7.150480256136606, 3.877139979859013, 0.0]",25.304986612660958
2025-01-10T23_19_53,0,75,0.01,10,5,23.80414263023966,"[60.141843971631204, 0.0, 0.0, 14.400805639476335, 44.47806354009077]",29.664898786779688
2025-01-10T23_45_05,0,100,0.01,10,5,25.38654596294079,"[55.55555555555556, 0.0, 0.0, 19.68781470292044, 51.68935955622794]",37.29412304718903
