Date,Seed,Epochs,Learning Rate,Depth,Width,Mean,Mean_array,Forgetting
2025-01-10T14_33_24,0,1,0.001,2,1,20.057043226985087,"[55.0354609929078, 45.24975514201763, 0.0, 0.0, 0.0]",4.905437352245862
2025-01-10T15_11_35,1,1,0.001,2,2,16.474962228761274,"[25.106382978723403, 0.0, 0.0, 12.235649546827794, 45.03277861825517]",12.009456264775412
2025-01-10T16_10_36,42,25,0.001,10,5,10.48025613660619,"[0.0, 0.0, 52.40128068303095, 0.0, 0.0]",13.416075650118204
2025-01-10T16_35_10,0,25,0.001,10,5,24.16773253884181,"[71.77304964539007, 0.04897159647404505, 0.0, 0.0, 49.016641452344935]",45.2475603320804
2025-01-10T16_47_13,0,75,0.001,10,5,31.976173705849853,"[40.85106382978723, 0.0, 0.0, 21.299093655589125, 97.73071104387292]",83.54138344471714
2025-01-10T17_19_29,0,100,0.001,10,5,22.206127974306426,"[60.047281323877066, 0.0, 0.0, 0.0, 50.983358547655065]",83.41129281927408
