Epochs,Learning Rate,Depth,Width,Mean
10,0.001,2,15,23.49866039713706
20,0.001,2,15,38.95123433556977
30,0.001,2,15,48.5616781141312
40,0.001,2,15,51.283298774850074
50,0.001,2,15,53.20181342192776
60,0.001,2,15,54.43531529102394
70,0.001,2,15,54.9854704442291
80,0.001,2,15,55.07843781084513
90,0.001,2,15,55.18250606260896
100,0.001,2,15,55.41736309480634
10,0.001,2,5,12.538539218169566
20,0.001,2,5,16.75286453355593
30,0.001,2,5,22.167641208711046
40,0.001,2,5,22.457578030941967
50,0.001,2,5,23.585740219470583
60,0.001,2,5,25.359571579619626
70,0.001,2,5,33.1077158059091
80,0.001,2,5,31.156067266051878
90,0.001,2,5,27.288964279865688
100,0.001,2,5,27.774795336144866
10,0.01,2,5,27.654159308402633
20,0.01,2,5,28.160059127304237
30,0.01,2,5,25.65461202378308
40,0.01,2,5,25.547096539338064
50,0.01,2,5,27.89580275773086
60,0.01,2,5,31.79323125418132
70,0.01,2,5,31.81242303665984
80,0.01,2,5,32.55447582211332
90,0.01,2,5,32.732773384645654
100,0.01,2,5,32.457532415445215
1,0.01,2,10,9.419500558748851
1,0.01,2,20,24.955012435307523
10,0.01,2,15,55.35753332408474
20,0.01,2,15,55.53615762478986
30,0.01,2,15,55.68025559548748
40,0.01,2,15,56.15795448180993
50,0.01,2,15,56.241490002446426
60,0.01,2,15,56.35206963707086
70,0.01,2,15,55.785184677654186
80,0.01,2,15,55.67252964596364
90,0.01,2,15,55.41899522018524
100,0.01,2,15,55.28226290742291
