Date,Seed,Epochs,Learning Rate,Depth,Width,Mean,Mean_array,Forgetting
2025-01-05T16_46_54,7,50,0.01,2,75,59.172164576765546,"[86.85579196217495, 36.385896180215475, 69.85058697972252, 69.98992950654582, 32.77861825516894]",15.169869588061717
2025-01-05T16_59_26,7,50,0.01,2,100,59.84725643686522,"[83.40425531914893, 40.1077375122429, 73.10565635005337, 69.08358509566969, 33.53504790721129]",15.471748579471255
2025-01-05T17_14_21,7,50,0.01,5,5,20.769626919165088,"[30.023640661938533, 7.492654260528893, 0.8004268943436499, 50.40281973816717, 15.128593040847202]",39.93144437792879
2025-01-05T17_27_51,7,50,0.01,5,10,43.13311804332755,"[93.90070921985816, 27.7179236043095, 18.56990394877268, 43.00100704934542, 32.47604639435199]",32.525745395050826
2025-01-05T17_41_29,7,50,0.01,5,15,43.295695399253525,"[89.88179669030733, 0.3428011753183154, 69.42369263607257, 35.24672708962739, 21.58345940494201]",31.71046753375535
2025-01-05T17_55_03,7,50,0.01,5,20,52.734237553947295,"[97.54137115839244, 19.539666993143975, 64.72785485592316, 55.68982880161128, 26.172465960665658]",22.445569212267912
2025-01-05T18_08_36,7,50,0.01,5,50,52.848968237287046,"[94.7517730496454, 22.428991185112636, 58.75133404482391, 58.610271903323266, 29.702471003530007]",23.217121129028065
2025-01-05T18_22_14,7,50,0.01,5,75,54.10307790184428,"[93.85342789598108, 29.578844270323213, 58.217716115261474, 59.969788519637454, 28.895612708018152]",21.633896585045477
2025-01-05T18_35_45,7,50,0.01,5,100,55.56414273583506,"[96.45390070921985, 29.921645445641527, 59.76520811099253, 66.21349446122859, 25.46646495209279]",18.997235289763054
2025-01-05T19_02_43,8,50,0.01,5,5,26.731367228889148,"[49.361702127659576, 0.0, 0.0, 47.583081570996974, 36.712052445789205]",39.34889314783547
2025-01-05T19_16_09,8,50,0.01,5,10,36.069487047198535,"[97.44680851063829, 0.5386875612144956, 6.24332977588047, 52.26586102719033, 23.852748361069086]",30.622731438693677
2025-01-05T19_29_30,8,50,0.01,5,15,42.55330555576887,"[93.71158392434988, 20.029382957884426, 17.66275346851654, 52.51762336354482, 28.84518406454866]",32.00390005798908
2025-01-05T19_42_51,8,50,0.01,5,20,50.20615152311778,"[97.54137115839244, 13.516160626836434, 49.1462113127001, 63.343403826787515, 27.483610690872418]",24.061688772251806
2025-01-05T19_56_15,8,50,0.01,5,50,49.908146866234475,"[95.93380614657211, 19.980411361410383, 52.8281750266809, 58.962739174219536, 21.83560262228946]",22.47331426377966
2025-01-05T20_09_40,8,50,0.01,5,75,57.69841762717175,"[93.04964539007092, 37.95298726738492, 66.96905016008537, 66.01208459214502, 24.508320726172467]",16.455317745699105
2025-01-05T20_22_45,8,50,0.01,5,100,56.71195295636924,"[96.40661938534278, 38.5896180215475, 64.03415154749199, 59.4159113796576, 25.113464447806354]",15.539936164892088
