Epochs,Learning Rate,Depth,Width,Mean
60,0.01,2,20,57.53536070925365
60,0.01,2,20,57.53536070925365
60,0.01,2,20,57.53536070925365
60,0.01,2,20,57.81449516799321
60,0.01,2,20,56.72447084783708
60,0.01,2,20,56.72447084783708
60,0.01,2,20,58.19583834294876
60,0.01,2,20,57.70029884292303
60,0.01,2,20,54.91578289810684
60,0.01,2,20,55.67675241129037
60,0.01,2,20,58.02560979288368
60,0.01,2,20,57.07501464649549
60,0.01,2,20,56.08010346132178
60,0.01,2,20,56.180844215192984
60,0.01,2,20,54.29099670184593
15,0.01,2,20,55.3496375200324
15,0.01,2,20,55.3496375200324
60,0.01,2,20,56.72447084783708
60,0.01,2,20,56.72447084783708
60,0.01,2,20,56.72447084783708
60,0.01,2,20,56.72447084783708
60,0.01,2,20,56.72447084783708
60,0.01,2,20,56.72447084783708
60,0.01,2,20,58.19583834294876
60,0.01,2,20,57.70029884292303
60,0.01,2,20,54.91578289810684
60,0.01,2,20,55.67675241129037
60,0.01,2,20,58.02560979288368
60,0.01,2,20,57.07501464649549
60,0.01,2,20,56.08010346132178
60,0.01,2,20,56.180844215192984
60,0.01,2,20,54.29099670184593
2025-01-01 22_23,60,0.01,2,100,61.437848624140926,"[92.95508274231679, 38.00195886385897, 68.62326574172893, 70.49345417925478, 37.115481593545134]"
2025-01-01 23_39,60,0.01,2,20,56.72447084783708,"[92.57683215130024, 35.35749265426053, 59.76520811099253, 61.681772406847934, 34.24104891578417]"
2025-01-01 23_56,60,0.01,2,20,58.19583834294876,"[87.75413711583924, 30.80313418217434, 70.70437566702242, 64.7029204431017, 37.01462430660615]"
2025-01-02 00_14,60,0.01,2,20,57.70029884292303,"[85.43735224586288, 35.553379040156706, 64.88794023479188, 66.31419939577039, 36.30862329803328]"
2025-01-02 00_47,50,0.01,2,50,59.694456155181534,"[88.08510638297872, 35.89618021547503, 67.18249733191035, 69.08358509566969, 38.22491174987393]"
2025-01-02 01_15,50,0.01,2,50,59.694456155181534,"[88.08510638297872, 35.89618021547503, 67.18249733191035, 69.08358509566969, 38.22491174987393]"
2025-01-02 01_37,20,0.01,2,20,56.37832268646529,"[96.8321513002364, 46.86581782566112, 55.97652081109925, 54.481369587109775, 27.735753908219866]"
2025-01-02 01_47,20,0.01,2,20,56.37832268646529,"[96.8321513002364, 46.86581782566112, 55.97652081109925, 54.481369587109775, 27.735753908219866]"
2025-01-02 01_54,20,0.01,2,20,56.37832268646529,"[96.8321513002364, 46.86581782566112, 55.97652081109925, 54.481369587109775, 27.735753908219866]"
2025-01-02 02_03,50,0.01,2,50,59.694456155181534,"[88.08510638297872, 35.89618021547503, 67.18249733191035, 69.08358509566969, 38.22491174987393]"
2025-01-02 03_01,50,0.01,2,50,58.23971357339034,"[90.02364066193853, 34.42703232125368, 70.22411953041622, 64.45115810674723, 32.07261724659607]"
2025-01-02 03_57,50,0.01,2,50,58.24674150445427,"[85.34278959810875, 36.385896180215475, 65.47491995731056, 69.43605236656596, 34.5940494200706]"
