Date,Seed,Epochs,Learning Rate,Depth,Width,Mean,Mean_array,Forgetting
2025-01-07T00_10_00,1,50,0.001,2,75,38.88327419169845,"[54.04255319148936, 25.710088148873655, 0.26680896478121663, 16.968781470292043, 97.42813918305598]",74.69255037259428
2025-01-07T01_15_54,1,50,0.001,2,100,37.38073976620838,"[50.92198581560283, 18.658178256611166, 0.10672358591248667, 19.68781470292044, 97.52899646999495]",76.62115540142287
2025-01-07T02_07_00,1,50,0.001,5,5,21.814329687017626,"[10.732860520094563, 0.0, 0.05336179295624333, 0.0, 98.28542612203732]",95.6096630645288
2025-01-07T03_43_51,1,50,0.001,5,10,28.17537902494098,"[31.86761229314421, 0.0, 0.0, 11.530715005035248, 97.47856782652546]",87.49078396164562
2025-01-07T04_50_09,1,50,0.001,5,15,25.43368709397513,"[9.83451536643026, 19.09892262487757, 0.0, 0.0, 98.23499747856783]",91.71861550979074
2025-01-07T05_55_02,1,50,0.001,5,20,24.969674686283632,"[17.163120567375888, 0.6366307541625857, 0.05336179295624333, 9.466263846928499, 97.52899646999495]",92.11862152297726
2025-01-07T06_29_17,1,50,0.001,5,50,37.09894766087173,"[50.212765957446805, 9.353574926542606, 0.0, 27.99597180261833, 97.93242561775088]",77.13169020409141
2025-01-07T07_54_39,1,50,0.001,5,75,32.29391866069135,"[47.3758865248227, 9.01077375122429, 0.0, 6.847935548841893, 98.23499747856783]",83.38039805588271
2025-01-07T08_16_12,1,50,0.001,5,100,34.408844955523364,"[44.01891252955083, 14.93633692458374, 0.0, 14.8539778449144, 98.23499747856783]",80.69113858868032
2025-01-07T08_46_10,2,50,0.001,2,5,34.105325234832705,"[31.53664302600473, 4.3095004897159646, 1.6542155816435433, 36.304128902316215, 96.7221381744831]",80.02591475790169
2025-01-07T11_08_33,2,50,0.001,2,10,30.430743944715623,"[42.88416075650118, 0.0979431929480901, 0.21344717182497333, 11.983887210473315, 96.97428139183056]",85.0043522175296
2025-01-07T11_39_08,2,50,0.001,2,15,35.31406803464853,"[61.46572104018912, 13.56513222331048, 0.5869797225186766, 3.726082578046324, 97.22642460917801]",79.0513497271744
2025-01-07T11_54_30,2,50,0.001,2,20,40.72778858810759,"[61.371158392434985, 20.91087169441724, 0.21344717182497333, 24.169184290030213, 96.97428139183056]",72.0794215818146
2025-01-07T12_09_24,2,50,0.001,2,50,40.05174780200516,"[59.810874704491724, 16.503428011753183, 1.44076840981857, 25.075528700906347, 97.42813918305598]",73.1121931799772
2025-01-07T13_06_42,2,50,0.001,2,75,41.75432303597231,"[61.371158392434985, 20.959843290891282, 1.0672358591248665, 28.197381671701915, 97.17599596570852]",71.05106562263748
2025-01-07T13_21_32,2,50,0.001,2,100,40.74530517704111,"[61.13475177304964, 20.274240940254654, 0.26680896478121663, 24.47129909365559, 97.57942511346445]",72.45225827531004
2025-01-07T13_36_23,2,50,0.001,5,5,30.89461894326289,"[31.016548463356976, 0.04897159647404505, 0.0, 27.59315206445116, 95.81442259203227]",83.75140233000532
2025-01-07T13_52_21,2,50,0.001,5,10,22.77198742502763,"[16.02836879432624, 0.0, 0.0, 0.0, 97.8315683308119]",94.72932309299964
2025-01-07T14_08_17,2,50,0.001,5,15,31.423161300060777,"[38.91252955082742, 10.088148873653282, 0.21344717182497333, 10.322255790533736, 97.57942511346445]",84.19904230692683
2025-01-07T14_24_58,2,50,0.001,5,20,26.29804787772059,"[13.522458628841608, 3.721841332027424, 0.0, 16.76737160120846, 97.47856782652546]",90.2589569563736
2025-01-07T14_40_33,2,50,0.001,5,50,21.764153332149938,"[0.0, 10.28403525954946, 0.0, 0.5538771399798591, 97.98285426122038]",96.39775369269637
2025-01-07T14_56_04,2,50,0.001,5,75,35.90722512523148,"[55.55555555555556, 9.647404505386875, 0.6403415154749199, 15.709969788519636, 97.98285426122038]",78.66426929604808
2025-01-07T15_31_25,2,50,0.001,5,100,36.26546857215207,"[57.87234042553191, 10.920666013712047, 0.0, 14.803625377643503, 97.73071104387292]",78.33202815039132
2025-01-07T15_46_57,4,50,0.001,2,5,33.81361268787931,"[53.853427895981085, 0.1958863858961802, 0.32017075773745995, 17.573011077542798, 97.12556732223904]",80.32306278288925
2025-01-07T16_02_15,4,50,0.001,2,10,34.41908212491931,"[49.12529550827423, 4.897159647404505, 0.0, 20.44310171198389, 97.62985375693394]",79.97994378920922
2025-01-07T16_17_30,4,50,0.001,2,15,30.52801599949089,"[42.269503546099294, 9.500489715964742, 0.32017075773745995, 3.1722054380664653, 97.37771053958649]",84.97991967491572
2025-01-07T16_33_00,4,50,0.001,2,20,39.55475241703177,"[61.7966903073286, 18.854064642507346, 1.0138740661686232, 18.52970795568983, 97.57942511346445]",73.76025279027104
2025-01-07T16_53_04,4,50,0.001,2,50,39.452977816682726,"[48.274231678487, 25.073457394711067, 0.96051227321238, 25.629405840886204, 97.32728189611699]",73.93595575763814
2025-01-07T17_07_58,4,50,0.001,2,75,39.92702775077139,"[59.810874704491724, 26.199804113614107, 0.5869797225186766, 15.55891238670695, 97.47856782652546]",73.43716337312178
2025-01-07T17_22_56,4,50,0.001,2,100,43.11275787536188,"[63.64066193853428, 25.808031341821742, 4.215581643543223, 24.420946626384694, 97.47856782652546]",69.48920455322602
2025-01-07T17_38_05,4,50,0.001,5,5,29.902025371687717,"[52.43498817966903, 0.0, 0.0, 0.0, 97.07513867876955]",85.04342032480332
2025-01-07T17_54_17,4,50,0.001,5,10,25.042120435045405,"[27.328605200945628, 0.0, 0.0, 0.0, 97.88199697428139]",91.62535687403229
2025-01-07T18_10_14,4,50,0.001,5,15,21.748808131529348,"[10.307328605200945, 0.0, 0.0, 0.0, 98.43671205244578]",96.12122086277179
2025-01-07T18_27_11,4,50,0.001,5,20,22.211235634600637,"[7.281323877068557, 5.288932419196866, 0.0, 0.8056394763343404, 97.68028240040343]",95.42786652543998
2025-01-07T19_45_36,4,50,0.001,5,50,24.584905870705185,"[19.574468085106382, 4.3095004897159646, 0.0, 0.8559919436052367, 98.18456883509835]",92.79945199966036
2025-01-07T20_01_46,4,50,0.001,5,75,25.897139889940252,"[11.48936170212766, 1.2732615083251715, 0.16008537886872998, 18.52970795568983, 98.03328290468987]",91.20359123511702
2025-01-07T20_18_07,4,50,0.001,5,100,36.585513121709724,"[58.67612293144207, 6.023506366307542, 0.05336179295624333, 19.939577039274926, 98.23499747856783]",77.83912498396653
2025-01-07T20_34_16,5,50,0.001,2,5,24.41821819860564,"[2.3640661938534278, 8.03134182174339, 1.2273212379935965, 13.746223564954683, 96.7221381744831]",92.16379833995055
2025-01-07T20_50_14,5,50,0.001,2,10,35.70799053036298,"[51.91489361702127, 8.12928501469148, 0.3735325506937033, 21.19838872104733, 96.92385274836107]",78.09746667134111
2025-01-07T21_06_26,5,50,0.001,2,15,37.38210616653165,"[41.60756501182033, 34.280117531831536, 0.0, 13.897280966767372, 97.12556732223904]",76.32508413964429
2025-01-07T21_22_25,5,50,0.001,2,20,38.91378935533959,"[52.10401891252955, 21.302644466209596, 0.32017075773745995, 23.36354481369587, 97.47856782652546]",74.4966589735107
2025-01-07T21_38_01,5,50,0.001,2,50,38.478832868886634,"[46.28841607565012, 30.852105778648387, 0.9071504802561365, 16.968781470292043, 97.37771053958649]",75.10769371564422
2025-01-07T21_53_39,5,50,0.001,2,75,40.331136414219145,"[48.60520094562648, 32.85994123408423, 0.05336179295624333, 22.658610271903324, 97.47856782652546]",72.88416895088571
2025-01-07T22_09_22,5,50,0.001,2,100,38.99754109568804,"[48.652482269503544, 29.33398628795299, 0.6403415154749199, 18.78147029204431, 97.57942511346445]",74.6836160831885
2025-01-07T22_24_58,5,50,0.001,5,5,21.519108219821927,"[4.58628841607565, 0.6366307541625857, 5.549626467449306, 0.0, 96.8229954614221]",95.77526403063887
2025-01-07T23_15_25,5,50,0.001,5,10,19.697428139183053,"[0.0, 0.0, 0.0, 0.0, 98.48714069591527]",98.15027625116247
2025-01-07T23_33_15,5,50,0.001,5,15,22.384455729335226,"[0.0, 0.2938295788442703, 0.0, 13.595166163141995, 98.03328290468987]",95.5750206115102
2025-01-07T23_50_46,5,50,0.001,5,20,32.741422659985766,"[66.43026004728132, 0.0, 0.0, 0.0, 97.2768532526475]",82.19701074220308
2025-01-08T00_07_05,5,50,0.001,5,50,26.728095571830135,"[27.13947990543735, 8.619000979431929, 0.0, 0.0, 97.88199697428139]",89.96035840981386
2025-01-08T00_23_23,5,50,0.001,5,75,35.48780427545339,"[53.47517730496454, 12.536728697355533, 0.0, 13.343403826787512, 98.08371154815936]",79.41892608093058
2025-01-08T00_39_30,5,50,0.001,5,100,30.09418524927012,"[44.82269503546099, 6.953966699314397, 0.10672358591248667, 0.3021148036253776, 98.28542612203732]",86.09377773500262
2025-01-07T20_04_24,6,50,0.001,2,5,19.785372344733922,"[0.851063829787234, 0.5386875612144956, 0.16008537886872998, 0.4531722054380665, 96.92385274836107]",98.0093598918622
2025-01-07T20_18_29,6,50,0.001,2,10,36.907302405161246,"[67.89598108747045, 16.993143976493634, 0.96051227321238, 1.3091641490433032, 97.37771053958649]",77.03578521166753
2025-01-07T20_32_12,6,50,0.001,2,15,39.835123624714626,"[59.00709219858156, 21.841332027424095, 0.05336179295624333, 20.996978851963746, 97.2768532526475]",73.25912186188657
2025-01-07T20_46_05,6,50,0.001,2,20,40.17413770005472,"[52.15130023640662, 24.926542605288933, 1.44076840981857, 25.27693856998993, 97.07513867876955]",72.80130630702062
2025-01-07T21_00_05,6,50,0.001,2,50,42.13050635341064,"[60.047281323877066, 28.50146914789422, 0.05336179295624333, 24.672708962739172, 97.37771053958649]",70.70547484544147
2025-01-07T21_14_08,6,50,0.001,2,75,41.478504356669816,"[60.66193853427896, 23.94711067580803, 1.3874066168623265, 23.867069486404834, 97.52899646999495]",71.54563335670184
2025-01-07T21_28_06,6,50,0.001,2,100,41.23769862844091,"[60.09456264775414, 24.534769833496572, 0.21344717182497333, 23.816717019133936, 97.52899646999495]",71.72058911516913
2025-01-07T21_42_09,6,50,0.001,5,5,24.39116890734363,"[71.67848699763594, 0.0, 0.0, 0.0, 50.2773575390822]",56.73784336481086
2025-01-07T21_58_03,6,50,0.001,5,10,33.384668424709595,"[55.22458628841608, 1.3712047012732616, 0.16008537886872998, 12.638469284994965, 97.52899646999495]",81.25328590520027
2025-01-07T22_13_21,6,50,0.001,5,15,30.52745298893955,"[27.56501182033097, 0.0, 0.0, 27.240684793554887, 97.8315683308119]",84.46652084638934
2025-01-07T22_28_30,6,50,0.001,5,20,30.114181916032248,"[42.836879432624116, 9.549461312438785, 0.0, 0.0, 98.18456883509835]",85.9625511333061
2025-01-07T22_43_44,6,50,0.001,5,50,29.385194903478418,"[35.7919621749409, 6.807051909892263, 0.0, 6.545820745216516, 97.78113968734242]",87.01747648916421
2025-01-07T22_59_08,6,50,0.001,5,75,32.36821974538776,"[38.58156028368794, 7.247796278158668, 0.05336179295624333, 18.177240684793556, 97.78113968734242]",83.07507840616009
2025-01-07T23_20_53,6,50,0.001,5,100,40.800901719541635,"[64.77541371158392, 16.01371204701273, 0.10672358591248667, 25.176233635448135, 97.93242561775088]",72.64476793878674
2025-01-07T23_47_38,3,50,0.001,2,5,30.271164482369112,"[34.23167848699764, 0.0, 0.16008537886872998, 20.090634441087612, 96.87342410489158]",84.74389646114511
2025-01-08T00_01_47,3,50,0.001,2,10,29.331330360671558,"[39.81087470449173, 7.051909892262488, 0.0, 2.920443101711984, 96.87342410489158]",86.12599354514079
2025-01-08T00_16_01,3,50,0.001,2,15,29.92581176110295,"[33.191489361702125, 10.186092066601372, 0.21344717182497333, 8.862034239677746, 97.17599596570852]",85.47163862449906
2025-01-08T00_30_03,3,50,0.001,2,20,36.35995491982426,"[46.57210401891253, 16.601371204701273, 0.0, 21.34944612286002, 97.2768532526475]",77.56541119742351
2025-01-08T00_43_58,3,50,0.001,2,50,34.9920954416069,"[46.7612293144208, 11.361410381978452, 0.42689434364994666, 19.033232628398792, 97.37771053958649]",79.50414771744623
2025-01-08T00_57_52,3,50,0.001,2,75,37.271420626927885,"[49.83451536643026, 18.168462291870714, 0.5336179295624333, 20.644511581067473, 97.17599596570852]",76.63887476578655
2025-01-08T01_11_50,3,50,0.001,2,100,37.943802695466914,"[49.550827423167846, 20.323212536728697, 1.0672358591248665, 21.248741188318228, 97.52899646999495]",75.93919487169636
2025-01-08T01_25_35,3,50,0.001,5,5,26.76479271297012,"[35.46099290780142, 0.7835455435847208, 0.0, 0.0, 97.57942511346445]",89.18296250203102
2025-01-08T01_40_35,3,50,0.001,5,10,30.99728174149552,"[44.11347517730497, 0.0, 0.0, 12.990936555891238, 97.88199697428139]",84.06797806840233
2025-01-08T01_55_32,3,50,0.001,5,15,30.081388687023342,"[52.57683215130024, 0.04897159647404505, 0.0, 0.0, 97.78113968734242]",85.56375382718619
