Date,Seed,Epochs,Learning Rate,Depth,Width,Mean,Mean_array,Forgetting
2025-01-10T23_10_35,0,25,0.01,10,5,23.66656789472264,"[99.76359338061465, 7.541625857002939, 7.150480256136606, 3.877139979859013, 0.0]",25.304986612660958
2025-01-08T23_46_37,0,50,0.01,10,5,26.214835983090772,"[96.87943262411348, 4.16258570029383, 0.0, 15.407854984894259, 14.624306606152295]",22.318778213913447
2025-01-10T23_19_53,0,75,0.01,10,5,23.80414263023966,"[60.141843971631204, 0.0, 0.0, 14.400805639476335, 44.47806354009077]",29.664898786779688
2025-01-10T23_45_05,0,100,0.01,10,5,25.38654596294079,"[55.55555555555556, 0.0, 0.0, 19.68781470292044, 51.68935955622794]",37.29412304718903
