Date,Seed,Epochs,Learning Rate,Depth,Width,Mean,Mean_array,Forgetting
2025-01-10T16_35_10,0,25,0.001,10,5,24.16773253884181,"[71.77304964539007, 0.04897159647404505, 0.0, 0.0, 49.016641452344935]",45.2475603320804
2025-01-08T23_20_11,0,50,0.001,10,5,21.965500438658648,"[0.0, 0.0, 23.799359658484526, 35.397784491440085, 50.63035804336863]",83.5958898089169
2025-01-10T16_47_13,0,75,0.001,10,5,31.976173705849853,"[40.85106382978723, 0.0, 0.0, 21.299093655589125, 97.73071104387292]",83.54138344471714
2025-01-10T17_19_29,0,100,0.001,10,5,22.206127974306426,"[60.047281323877066, 0.0, 0.0, 0.0, 50.983358547655065]",83.41129281927408
